Tip_labels_tree,ratio_canals_ln,mean_gr_peri_ln_um,Wings_area_ln_mm2,thick_wings_ln_um,Seed_mass_ln_mg,ratio_canals_var,mean_gr_peri_var,Wings_area_var,thick_wings_var,Seed_mass_mg_var
Ferula_rigidula_2055,4.22,4.47,3.17,5.24,3.35,39.03,220.78,23.51,563.13,11.46
Ferula_rutbaensis_0341,4.37,5.19,4.85,5.36,3.73,39.03,220.78,23.51,563.13,11.46
Ferula_samarkandica_0117,4.45,4.82,2.36,4.82,2.44,26.02,147.19,15.67,375.42,7.64
Ferula_schtschurowskiana_0126,4.18,4.47,3.17,5.56,2.84,39.03,220.78,23.51,563.13,11.46
Ferula_serpentinica_0413,4.54,4.39,2.94,4.83,2.74,39.03,220.78,23.51,563.13,11.46
Ferula_songarica_0119,3.02,4.04,2.44,4.82,1.61,39.03,220.78,23.51,563.13,11.46
Ferula_syreitschikowii_0205,3.74,3.96,0.68,4.95,1.6,39.03,220.78,23.51,563.13,11.46
Ferula_szowitsiana_0191,4.31,4.69,3.77,5.31,2.49,26.02,147.19,15.67,375.42,7.64
Ferula_tatarica_0174,3.86,4.22,2.2,4.95,1.84,39.03,220.78,23.51,563.13,11.46
Ferula_teterrima_0139,4.11,4.06,3.04,4.78,2.25,78.06,441.57,47.01,1126.27,22.92
Ferula_tingitana_0160,3.53,3.97,3.24,5.18,2.69,39.03,220.78,23.51,563.13,11.46
Ferula_trachyphylla_0407,3.74,3.84,3.04,4.81,2.34,39.03,220.78,23.51,563.13,11.46
Ferula_transiliensis_0202,2.81,4.15,1.75,5.02,1.9,39.03,220.78,23.51,563.13,11.46
Ferula_tschimganica_0201,4.47,4.54,2.4,4.8,2.24,15.61,88.31,9.4,225.25,4.58
Ferula_undulata_0127,4.03,4.21,3.23,4.82,1.97,78.06,441.57,47.01,1126.27,22.92
Ferula_varia_0118,3.4,4.09,2.83,4.77,2,39.03,220.78,23.51,563.13,11.46
Ferula_violacea_0385,4.09,4.47,2.82,5.15,2.93,39.03,220.78,23.51,563.13,11.46
Ferula_xylorhachis_0406,4.52,4.41,3.04,4.85,2.14,39.03,220.78,23.51,563.13,11.46
Leutea_nematoloba_0399,2.41,4.25,2.02,5,1.77,39.03,220.78,23.51,563.13,11.46
Leutea_petiolaris_0065,2.45,4.26,2.14,5.24,2.13,19.52,110.39,11.75,281.57,5.73
Leutea_polyscias_0068,4.2,4.2,1,4.7,1.25,39.03,220.78,23.51,563.13,11.46
